,dist,A,B,C,D,E,F
8995,31473.84451235948,3747.5210494356083,2998.8465753236724,2133.9897361677513,1389.9880383212253,1000.1586215357147,684.1245548813137
8996,31510.104609950435,3750.835744912734,3001.6180386278797,2136.204349557303,1391.3235207729397,1001.0587195623893,684.816035833979
8997,31546.40648174145,3754.1533722496033,3004.3920632531326,2138.421261229919,1392.660286338846,1001.9596276370306,685.5082157030982
8998,31582.75017585936,3757.473934039458,3007.1686515665438,2140.640473570711,1393.9983362517426,1002.8613464886444,686.2010951951032
8999,31619.135740486385,3760.797432877827,3009.94780593741,2142.861988967263,1395.337671745613,1003.7638768468946,686.8946750171385
9000,31655.563223860445,3764.123871362548,3012.729528737228,2145.085809809652,1396.6782940556316,1004.6672194421011,687.5889558770676
9001,31692.03267427484,3767.4532520937446,3015.513822339676,2147.311938490417,1398.0202044181513,1005.5713750052417,688.2839384834646
9002,31728.54414007857,3770.7855776738443,3018.3006891206287,2149.540377404594,1399.3634040707161,1006.4763442679503,688.9796235456231
9003,31765.097669676277,3774.1208507075685,3021.090131458151,2151.771128949691,1400.7078942520566,1007.3821279625179,689.6760117735505
9004,31801.693311528557,3777.4590738019656,3023.8821517325246,2154.004195525721,1402.0536762021015,1008.288726821901,690.3731038779763
9005,31838.33111415165,3780.800249566367,3026.676752326214,2156.2395795351745,1403.400751161963,1009.1961415797093,691.0709005703446
9006,31875.011126117675,3784.144380612411,3029.473935623877,2158.477283383034,1404.749120373945,1010.1043729702129,691.7694025628182
9007,31911.733396054922,3787.4914695540715,3032.273704012404,2160.71730947679,1406.0987850815536,1011.0134217283488,692.4686105682835
