,dist,A,B,C,D,E,F
5814,807.7755972425443,319.6691331715988,91.69257992923534,53.57637368267868,26.627889589082795,18.939014014106707,11.679660462260948
5815,808.7062119304356,320.52037732625735,91.82813374854332,53.639727393707176,26.64362962649074,18.95710051059636,11.690247604669109
5816,809.6378987523448,321.3738882515713,91.9638879639786,53.70315602008401,26.65937896800731,18.975204279440028,11.700844343896
5817,810.5706589434478,322.22967198370657,92.09984287179725,53.766659650396235,26.675137619132297,18.99332533713262,11.711450688640765
5818,811.5044937403404,323.087734574899,92.23599876869277,53.8302383733354,26.690905585368682,19.01146370018472,11.722066647610408
5819,812.4394043810462,323.96444403465915,92.37235595179779,53.89389227769811,26.70668287222276,19.029619385122718,11.732692229519849
5820,813.3753921050118,324.950596311284,92.50891471868385,53.95762145238585,26.72246948520402,19.047792408488753,11.74332744309188
5821,814.3124581531149,325.93975044916533,92.64567536736264,54.02142598640538,26.738265429825276,19.065982786840827,11.753972297057238
5822,815.2506037676598,326.93191558600887,92.78263819628617,54.085305968868475,26.754070711602516,19.084190536752658,11.764626800154529
5823,816.1898301923841,327.92710088733776,92.91980350434791,54.149261488992536,26.769885336055054,19.102415674813876,11.775290961130304
5824,817.1301386724587,328.92531554657603,93.04944051417553,54.21329263610038,26.78570930870547,19.120658217629945,11.785964788739069
5825,818.0715304544863,329.92656878512963,93.1673353526188,54.27739949962027,26.801542635079553,19.138918181822113,11.796648291743207
5826,819.014006786509,330.93086985247766,93.2853795653395,54.34158216908655,26.81738532070642,19.1571955840276,11.807341478913093
5827,819.9575689180036,331.93822802625164,93.40357334159654,54.40584073413911,26.833237371118404,19.17549044089944,11.81804435902702
5828,820.9022180998896,332.9486526123282,93.52191687088906,54.470175284524075,26.849098791851155,19.193802769106618,11.828756940871266
5829,821.8479555845245,333.962152944907,93.64041034295586,54.53458591009353,26.864969588443543,19.212132585333983,11.839479233240047
5830,822.7947826257108,334.97873838660456,93.7590539477765,54.59907270080593,26.880849766437763,19.230479906282387,11.850211244935569
5831,823.7427004786957,335.99841832853633,93.87784787557118,54.663635746726065,26.896739331379273,19.248844748668592,11.86095298476802
5832,824.69171040017,337.02120219040233,93.99679231680082,54.728275138025175,26.912638288816773,19.267227129225304,11.871704461555538
5833,825.6418136482756,338.04709942058014,94.11588746216819,54.79299096498126,26.9285466443023,19.28562706470127,11.882465684124316
5834,826.5930114826004,339.0761194962045,94.23513350261702,54.857783317978836,26.944464403391112,19.30404457186117,11.893236661308483
5835,827.5453051641871,340.1082719232618,94.35453062933362,54.922652287509614,26.960391571641814,19.32247966748573,11.904017401950224
5836,828.4986959555275,341.1435662366717,94.47407903374604,54.987597964172,26.976328154616233,19.34093236837167,11.914807914899708
5837,829.4531851205707,342.1820120003813,94.5937789075251,55.05262043867171,26.992274157879535,19.359402691331795,11.925608209015143
5838,830.4087739247217,343.2236188074496,94.7136304425846,55.11771980182179,27.008229587000177,19.377890653194946,11.936418293162772
5839,831.365463634841,344.26839628013477,94.8336338310811,55.18289614454243,27.024194447549835,19.396396270805997,11.947238176216851
5840,832.3232555192519,345.31635406998925,94.95378926541507,55.24814955786155,27.040168745103568,19.41491956102599,11.958067867059707
5841,833.2821508477356,346.36750185794097,95.07409693823034,55.31348013291457,27.05615248523967,19.433460540731986,11.968907374581695
5842,834.2421508915394,347.4218493543899,95.19455704241523,55.37873178192706,27.07214567353978,19.45201922681722,11.979756707681256
5843,835.203256923372,348.47940629929155,95.31516977110202,55.44012167505522,27.088148315588782,19.47059563619101,11.990615875264858
5844,836.1654702174106,349.5401824622531,95.435935317668,55.50157962172767,27.10416041697491,19.489189785778887,12.001484886247072
5845,837.1287920493007,350.60418764261937,95.55685387573558,55.563105697385055,27.12018198328969,19.507801692522502,12.012363749550564
5846,838.0932236961547,351.67143166956265,95.67792563917205,55.624699977551366,27.13621302012792,19.526431373379666,12.023252474106041
5847,839.0587664365596,352.74192440217905,95.79915080209076,55.686362537834576,27.152253533087755,19.545078845324465,12.034151068852346
5848,840.0254215505722,353.8156757295721,95.92052955885067,55.748093453926245,27.16830352777061,19.56374412534708,12.0450595427364
5849,840.9931903197273,354.89269557095105,96.04206210405734,55.80989280160208,27.18436300978126,19.582427230454023,12.055977904713254
5850,841.9620740270329,355.9729938757162,96.1637486325625,55.87176065672152,27.200431984727746,19.60112817766798,12.066906163746056
5851,842.9320739569785,357.0213840828639,96.28558933946516,55.93369709522842,27.21651045822147,19.619846984027937,12.077844328806107
5852,843.9031913955296,357.86630718982394,96.40758442011116,55.99570219315049,27.2325984358771,19.638583666589096,12.088792408872791
5853,844.8754276301363,358.7132298830515,96.52973407009412,56.057776026599946,27.248695923312667,19.657338242423016,12.099750412933687
5854,845.8487839497317,359.56215689474664,96.65203848525545,56.11991867177336,27.26480292614953,19.676110728617523,12.110718349984506
5855,846.8232616447314,360.413092968308,96.7744978616844,56.18213020495162,27.280919450012295,19.694901142276738,12.121696229029073
5856,847.7988620070408,361.26604285836123,96.89711239571916,56.24441070250034,27.29704550052898,19.713709500521176,12.13268405907943
5857,848.7755863300506,362.12101133078284,97.0198822839462,56.30676024086968,27.313181083330875,19.73253582048764,12.14368184915575
5858,849.7534359086446,362.97800316272975,97.14280772320146,56.36917889659467,27.32932620405264,19.751380119329347,12.154689608286404
5859,850.7324120391955,363.8370231426629,97.26588891056988,56.431666746295,27.34548086833222,19.770242414215847,12.16570734550793
5860,851.7125160195717,364.69807607037654,97.38912604338647,56.49422386667545,27.36164508181093,19.789122722333136,12.176735069865071
5861,852.6937491491368,365.5611667570243,97.51251931923618,56.55685033452585,27.377818850133416,19.808021060883608,12.187772790410772
5862,853.676112728749,366.42630002514454,97.63606893595404,56.61954622672093,27.39400217894763,19.826937447086042,12.198820516206162
5863,854.6596080607684,367.2934807086902,97.75977509162615,56.68231162022097,27.410195073904905,19.84587189817574,12.209878256320614
5864,855.6442364490523,368.1627136530526,97.8836379845892,56.745146592071265,27.42639754065987,19.864824431404386,12.220946019831677
5865,856.6299991989636,369.0340037150918,98.00765781343154,56.80805121940274,27.442609584870542,19.883795064040196,12.232023815825194
5866,857.6168976173652,369.90735576316024,98.13183477699273,56.871025579431624,27.458831212198238,19.902783813367826,12.243111653395175
5867,858.6049330126286,370.78277467713275,98.25616907436455,56.934069749459894,27.475062428307655,19.921790696688486,12.254209541643919
5868,859.5941066946327,371.66026534843434,98.38066090489117,56.997183806875206,27.49130323886684,19.940815731319898,12.265317489681964
5869,860.5844199747626,372.53983268006203,98.50531046816886,57.06036782915092,27.507553649547148,19.95985893459628,12.276435506628097
5870,861.5758741659175,373.42148158662104,98.63011796404724,57.123621893846405,27.52381366602335,19.978920323868486,12.287563601609389
